dateSurv,obs,marked,checked,ratio,week
2/19/2021,MPSP,10,273,0.038022814,1
2/20/2021,MPSP,6,110,0.057692308,1
2/27/2021,MPJL,5,100,0.052631579,1
2/27/2021,MPJL,2,50,0.041666667,1
2/27/2021,MPJL,0,16,0,1
2/27/2021,JL,1,100,0.01010101,1
3/5/2021,SP,1,12,0.090909091,2
3/5/2021,SP,2,60,0.034482759,2
3/6/2021,SP,4,95,0.043956044,2
3/6/2021,SP,0,6,0,2
3/6/2021,SP,14,366,0.039772727,2
3/12/2021,SP,7,100,0.075268817,3
3/13/2021,SP,2,85,0.024096386,3
3/13/2021,SP,4,100,0.041666667,3
3/13/2021,SP,2,172,0.011764706,3
3/13/2021,SP,2,42,0.05,3
3/13/2021,SP,5,200,0.025641026,3
3/19/2021,MPJL,3,84,0.037037037,4
3/20/2021,MP,1,50,0.020408163,4
3/20/2021,MP,1,100,0.01010101,4
3/20/2021,MP,1,70,0.014492754,4
3/20/2021,MP,1,89,0.011363636,4
3/20/2021,MP,2,50,0.041666667,4
3/20/2021,MP,1,62,0.016393443,4
3/20/2021,MP,2,60,0.034482759,4
3/26/2021,missing,NA,1,NA,5
4/3/2021,missing,NA,1,NA,6
4/10/2021,SP,2,160,0.012658228,7
4/10/2021,SP,1,102,0.00990099,7
4/10/2021,SP,1,70,0.014492754,7
4/10/2021,SP,0,55,0,7
4/10/2021,SP,4,168,0.024390244,7
4/10/2021,SP,9,350,0.026392962,7
4/10/2021,SP,4,190,0.021505376,7
4/10/2021,SP,5,218,0.023474178,7
4/10/2021,SP,3,186,0.016393443,7
4/10/2021,SP,4,50,0.086956522,7
4/10/2021,SP,5,136,0.038167939,7
4/10/2021,SP,0,102,0,7
4/11/2021,SP,4,117,0.03539823,7
4/11/2021,SP,3,99,0.03125,7
4/11/2021,SP,0,118,0,7
4/11/2021,SP,7,341,0.020958084,7
4/11/2021,SP,9,285,0.032608696,7
4/11/2021,SP,9,356,0.025936599,7
4/16/2021,MP,2,174,0.011627907,8
4/16/2021,MP,1,33,0.03125,8
4/16/2021,MP,0,57,0,8
4/16/2021,MP,1,31,0.033333333,8
4/16/2021,MP,2,44,0.047619048,8
4/16/2021,MP,2,140,0.014492754,8
4/17/2021,MP,1,18,0.055555556,8
4/17/2021,MP,1,81,0.0125,8
4/17/2021,MP,2,40,0.052631579,8
4/17/2021,MP,3,130,0.023622047,8
4/17/2021,MP,5,100,0.052631579,8
4/17/2021,MP,6,87,0.074074074,8
4/17/2021,MP,5,118,0.044247788,8
4/17/2021,MP,6,152,0.04109589,8
4/17/2021,MP,2,28,0.076923077,8
4/17/2021,MP,3,75,0.041666667,8
4/17/2021,MP,2,116,0.01754386,8
4/17/2021,MP,4,165,0.024844721,8
4/17/2021,MP,5,146,0.035971223,8
4/23/2021,SP,1,44,0.023255814,9
4/23/2021,SP,5,114,0.04587156,9
4/23/2021,SP,3,319,0.009493671,9
4/24/2021,SP,0,15,0,9
4/24/2021,SP,1,58,0.01754386,9
4/24/2021,SP,2,61,0.033898305,9
4/24/2021,SP,3,107,0.028846154,9
4/24/2021,SP,3,80,0.038961039,9
4/24/2021,SP,0,10,0,9
4/24/2021,SP,2,52,0.04,9
4/24/2021,SP,5,122,0.042735043,9
4/24/2021,SP,5,240,0.021276596,9
4/24/2021,SP,7,485,0.014644351,9
4/24/2021,SP,5,210,0.024390244,9
4/24/2021,SP,2,154,0.013157895,9
4/24/2021,SP,2,174,0.011627907,9
4/24/2021,SP,5,120,0.043478261,9
4/24/2021,SP,3,283,0.010714286,9
5/1/2021,MP,3,127,0.024193548,10
5/1/2021,MP,4,30,0.153846154,10
5/1/2021,MP,2,43,0.048780488,10
5/3/2021,SP,1,130,0.007751938,10
5/4/2022,SP,4,282,0.014388489,10
5/4/2022,SP,4,160,0.025641026,10
5/4/2022,SP,7,288,0.024911032,10
5/6/2021,MP,5,147,0.035211268,11
5/6/2021,MP,1,97,0.010416667,11
5/6/2021,MP,0,53,0,11
5/7/2021,MP,2,72,0.028571429,11
5/7/2021,MP,1,75,0.013513514,11
5/7/2021,MP,3,125,0.024590164,11
5/7/2021,MP,1,57,0.017857143,11
5/10/2021,SP,3,117,0.026315789,12
5/10/2021,SP,5,239,0.021367521,12
5/10/2021,SP,3,284,0.010676157,12
5/10/2021,SP,2,229,0.008810573,12
5/10/2021,SP,4,247,0.016460905,12
5/10/2021,SP,4,199,0.020512821,12
5/11/2022,SP,4,223,0.01826484,12
5/13/2021,MP,2,98,0.020833333,13
5/13/2021,MP,0,41,0,13
5/13/2021,MP,2,105,0.019417476,13
5/13/2021,MP,3,51,0.0625,13
5/13/2021,MP,2,100,0.020408163,13
5/13/2021,MP,1,126,0.008,13
5/13/2021,MP,2,70,0.029411765,13
5/13/2021,MP,1,100,0.01010101,13
5/13/2021,MP,0,98,0,13
5/13/2021,MP,3,107,0.028846154,13
5/13/2021,MP,1,130,0.007751938,13
5/13/2021,MP,1,211,0.004761905,13
5/13/2021,MP,1,177,0.005681818,13
5/13/2021,MP,3,82,0.037974684,13
5/13/2021,MP,3,148,0.020689655,13
5/13/2021,MP,4,172,0.023809524,13
5/13/2021,MP,3,124,0.024793388,13
5/13/2021,MP,1,147,0.006849315,13
5/13/2021,MP,1,39,0.026315789,13
5/13/2021,MP,3,121,0.025423729,13
5/13/2021,MP,2,62,0.033333333,13
5/13/2021,MP,1,103,0.009803922,13
5/13/2021,MP,2,97,0.021052632,13
5/13/2021,MP,2,53,0.039215686,13
5/13/2021,MP,1,106,0.00952381,13
5/13/2021,MP,0,166,0,13
5/13/2021,MP,2,130,0.015625,13
5/13/2021,MP,1,135,0.007462687,13
5/13/2021,MP,3,176,0.01734104,13
5/13/2021,MP,1,53,0.019230769,13
5/13/2021,MP,3,178,0.017142857,13
5/13/2021,MP,1,66,0.015384615,13
5/13/2021,MP,3,166,0.018404908,13
5/13/2021,MP,3,112,0.027522936,13
5/13/2021,MP,7,156,0.046979866,13
5/14/2021,MP,2,93,0.021978022,13
5/14/2021,MP,1,91,0.011111111,13
5/14/2021,MP,1,52,0.019607843,13
5/14/2021,MP,1,106,0.00952381,13
5/14/2021,MP,1,99,0.010204082,13
5/14/2021,MP,1,121,0.008333333,13
5/14/2021,MP,1,82,0.012345679,13
5/14/2021,MP,2,108,0.018867925,13
5/14/2021,MP,0,90,0,13
5/14/2021,MP,2,97,0.021052632,13
